_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
2848,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),2690,2690,2690
2849,8,Supermercado,Penco,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (Parrillera),2690,3290,2990
2850,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),3190,4199,"3844,5"
2851,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),2990,4199,"3483,92"
2852,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),3790,4199,"3994,5"
2853,8,Supermercado,Penco,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Chuleta (centro),3290,4199,"3744,5"
2854,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Filete,7990,9999,"8659,67"
2855,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Filete,7990,12990,"9418,38"
2856,8,Supermercado,Penco,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Filete,7999,10900,"9449,5"
2857,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Legumbres,Garbanzos sin piel,1215,2919,"2095,33"
2858,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Legumbres,Garbanzos sin piel,1215,2919,"2261,77"
2859,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Legumbres,Garbanzos sin piel,1215,2919,"2146,56"
2860,8,Supermercado,Penco,35,2013-08-26T00:00:00,Legumbres,Garbanzos sin piel,1390,2489,"2029,5"
2861,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Pan,Hallulla corriente,888,989,"922,86"
2862,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Pan,Hallulla corriente,825,1049,"943,08"
2863,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Pan,Hallulla corriente,890,949,"912,33"
2864,8,Supermercado,Penco,35,2013-08-26T00:00:00,Pan,Hallulla corriente,890,950,"912,67"
