id_time,id_city,id_product,spot,min,max,average,_id
5,2,6,Feria libre,450,500,475.0,202
5,2,8,Feria libre,300,350,325.0,203
5,1,8,Feria libre,400,500,450.0,204
5,1,8,Feria libre,300,350,325.0,205
5,1,9,Feria libre,700,900,800.0,206
5,2,9,Feria libre,800,800,800.0,207
5,1,10,Feria libre,600,800,700.0,208
5,1,11,Feria libre,280,300,290.0,209
5,2,11,Feria libre,300,350,316.67,210
5,1,11,Feria libre,200,250,225.0,211
5,1,31,Feria libre,500,600,550.0,212
5,2,31,Feria libre,500,600,550.0,213
5,1,31,Feria libre,250,350,300.0,214
5,1,13,Feria libre,350,400,375.0,215
5,2,13,Feria libre,400,500,450.0,216
5,1,14,Feria libre,300,350,325.0,217
5,2,14,Feria libre,400,500,450.0,218
5,1,33,Feria libre,300,350,325.0,219
5,1,16,Feria libre,330,350,340.0,220
5,1,16,Feria libre,200,250,225.0,221
5,1,17,Feria libre,330,350,340.0,222
5,2,17,Feria libre,350,400,375.0,223
5,1,17,Feria libre,200,250,225.0,224
5,1,18,Feria libre,1200,1700,1450.0,225
5,1,19,Feria libre,1500,1800,1650.0,226
5,1,19,Feria libre,1000,1400,1200.0,227
5,2,20,Feria libre,350,400,375.0,228
5,2,32,Feria libre,330,350,340.0,229
5,1,32,Feria libre,350,500,425.0,230
5,1,21,Feria libre,300,400,350.0,231
5,2,21,Feria libre,350,400,383.33,232
5,1,22,Feria libre,500,600,550.0,233
5,2,22,Feria libre,500,600,550.0,234
5,1,22,Feria libre,350,350,350.0,235
5,2,22,Feria libre,500,500,500.0,236
5,2,24,Feria libre,400,400,400.0,237
5,1,24,Feria libre,400,450,425.0,238
5,1,24,Feria libre,300,350,325.0,239
5,2,26,Feria libre,600,600,600.0,240
5,1,26,Feria libre,600,700,650.0,241
5,1,27,Feria libre,700,900,800.0,242
5,2,27,Feria libre,800,900,850.0,243
5,2,27,Feria libre,600,700,650.0,244
5,1,28,Feria libre,50,55,52.5,245
5,2,28,Feria libre,55,60,57.5,246
5,1,28,Feria libre,40,45,42.5,247
5,2,28,Feria libre,50,55,52.5,248
5,1,29,Feria libre,350,500,425.0,249
5,2,30,Feria libre,300,350,316.67,250
5,1,30,Feria libre,300,350,325.0,251
5,1,30,Feria libre,250,250,250.0,252
6,2,1,Feria libre,180,200,190.0,253
6,1,2,Feria libre,700,800,750.0,254
6,2,2,Feria libre,800,800,800.0,255
6,1,3,Feria libre,600,700,650.0,256
6,2,3,Feria libre,600,700,650.0,257
6,1,3,Feria libre,500,500,500.0,258
6,1,4,Feria libre,250,250,250.0,259
6,2,4,Feria libre,250,250,250.0,260
6,1,5,Feria libre,350,400,375.0,261
6,2,6,Feria libre,600,600,600.0,262
6,1,6,Feria libre,600,700,650.0,263
6,1,6,Feria libre,500,500,500.0,264
6,2,8,Feria libre,400,500,450.0,265
6,1,8,Feria libre,350,400,375.0,266
6,1,9,Feria libre,600,700,650.0,267
6,1,9,Feria libre,330,400,365.0,268
6,1,11,Feria libre,300,350,325.0,269
6,2,11,Feria libre,400,500,450.0,270
6,1,11,Feria libre,200,250,225.0,271
6,1,31,Feria libre,400,500,450.0,272
6,2,31,Feria libre,500,700,600.0,273
6,1,13,Feria libre,400,450,425.0,274
6,2,13,Feria libre,500,500,500.0,275
6,1,13,Feria libre,350,350,350.0,276
6,1,14,Feria libre,350,400,375.0,277
6,2,14,Feria libre,500,500,500.0,278
6,2,33,Feria libre,500,500,500.0,279
6,1,34,Feria libre,350,400,375.0,280
6,1,34,Feria libre,330,330,330.0,281
6,1,17,Feria libre,350,400,375.0,282
6,2,17,Feria libre,500,500,500.0,283
6,2,18,Feria libre,1000,1200,1100.0,284
6,1,19,Feria libre,1400,1700,1550.0,285
6,1,19,Feria libre,1000,1200,1100.0,286
6,1,20,Feria libre,330,400,365.0,287
6,2,20,Feria libre,330,400,365.0,288
6,1,21,Feria libre,400,450,425.0,289
6,1,22,Feria libre,400,600,500.0,290
6,2,22,Feria libre,500,600,550.0,291
6,2,24,Feria libre,350,400,375.0,292
6,1,24,Feria libre,400,450,425.0,293
6,2,25,Feria libre,2000,2000,2000.0,294
6,2,26,Feria libre,600,600,600.0,295
6,1,26,Feria libre,700,800,750.0,296
6,1,26,Feria libre,400,600,500.0,297
6,2,27,Feria libre,700,800,750.0,298
6,1,27,Feria libre,700,900,800.0,299
6,1,28,Feria libre,50,55,52.5,300
6,2,28,Feria libre,50,55,52.5,301
6,1,29,Feria libre,350,500,425.0,302
6,1,30,Feria libre,330,350,340.0,303
7,1,1,Feria libre,100,150,125.0,304
7,2,1,Feria libre,100,150,133.33,305
7,1,2,Feria libre,700,800,750.0,306
7,2,2,Feria libre,800,800,800.0,307
7,1,3,Feria libre,500,550,525.0,308
7,2,3,Feria libre,500,700,600.0,309
7,1,4,Feria libre,200,250,225.0,310
7,2,4,Feria libre,200,250,233.33,311
7,1,4,Feria libre,150,180,165.0,312
7,2,6,Feria libre,450,550,487.5,313
7,1,6,Feria libre,550,600,575.0,314
7,1,6,Feria libre,350,400,375.0,315
7,2,8,Feria libre,350,400,375.0,316
7,1,8,Feria libre,400,500,450.0,317
7,1,8,Feria libre,300,350,325.0,318
7,1,9,Feria libre,600,700,650.0,319
7,2,9,Feria libre,600,700,650.0,320
7,1,9,Feria libre,350,400,375.0,321
7,2,10,Feria libre,500,700,600.0,322
7,1,10,Feria libre,500,500,500.0,323
7,1,11,Feria libre,300,350,325.0,324
