_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
103,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,600,700,"633,33"
104,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,600,700,650
105,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Segunda,400,400,400
106,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Segunda,500,500,500
107,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,800,1000,900
108,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,900,1100,1000
109,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Segunda,600,600,600
110,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Primera,45,50,"47,5"
111,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Primera,45,60,"52,5"
112,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 1a (cosecha),350,500,425
113,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,300,400,350
114,7,Feria libre,CuricÛ,30,22/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,300,400,350
115,7,Feria libre,Talca,30,22/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Segunda,250,250,250
116,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),100,150,125
117,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Apio Americano $/unidad Primera,800,900,850
118,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,500,600,550
119,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),200,250,225
120,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Coliflor Sin Especificar $/unidad Primera,500,500,500
121,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Primera,300,350,325
122,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Kiwi Hayward $/kilo Segunda,200,250,225
123,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Lechuga Conconina $/unidad Primera,500,600,550
124,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Primera,800,1000,900
125,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Lechuga Escarola $/unidad Segunda,500,600,550
126,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a amarillo,300,350,325
127,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,LimÛn Sin Especificar $/kilo 1a plateado,200,250,225
128,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Primera,600,700,650
129,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Mandarina Clementina $/kilo Segunda,400,400,400
130,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Manzana Fuji $/kilo Primera,400,450,425
131,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Naranja Fukumoto $/kilo Primera,350,400,375
132,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Naranja Fukumoto $/kilo Segunda,250,300,275
133,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Primera,1500,1700,1600
134,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Palta Negra de La Cruz $/kilo Segunda,800,1000,900
135,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Papa Desire $/kilo Primera,450,500,475
136,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Papa Desire $/kilo Segunda,350,350,350
137,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Pepino ensalada Sin Especificar $/unidad Primera,350,400,375
138,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Pera Packam's Triumph $/kilo Primera,500,600,550
139,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Pera Packam's Triumph $/kilo Segunda,450,450,450
140,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Pimiento Cuatro cascos verde $/unidad Segunda,400,500,450
141,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Poroto verde Magnum $/kilo Primera,2000,2400,2200
142,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Repollo Crespo record $/unidad Primera,500,600,550
143,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Primera,800,1000,900
144,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Tomate Larga Vida $/kilo Segunda,700,700,700
145,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Zanahoria Sin Especificar $/unidad Primera,40,45,"42,5"
146,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 1a (cosecha),400,450,425
147,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Zapallo Camote $/kilo 2a (cosecha),300,300,300
148,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Primera,300,400,350
149,7,Feria libre,Talca,31,29/07/2013,Fruta-Hortaliza,Zapallo italiano Sin Especificar $/unidad Segunda,250,250,250
150,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Ajo Chino $/unidad 1a (guarda),100,150,125
151,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Apio Americano $/unidad Primera,800,800,800
152,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Primera,600,700,650
153,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,BrÛcoli Sin Especificar $/unidad Segunda,500,500,500
154,7,Feria libre,Talca,32,05/08/2013,Fruta-Hortaliza,Cebolla Sin Especificar $/unidad 1a (guarda),230,250,240
